qid,name,pageviews_sum_global,langs_seen
Q3713655,Donald Trump Jr.,277560,de,en,es,fr,ja
Q11930,Kevin Costner,276348,de,en,es,fr
Q23844,George Clooney,276125,de,en,es,fr
Q70954450,David Corenswet,275950,en,es,fr
Q106629186,Doechii,275643,en,es,fr
Q10993,Tiger Woods,272038,de,en,es,fr
Q13560358,Julia Garner,271901,de,en,es,fr
Q2494,Benedict XVI,270893,en,es
Q9582,Gerald Ford,270827,de,en,es,fr
Q483907,Jack Black,270463,de,en,es,fr
Q298347,Nicholas Hoult,270265,de,en,es,fr
Q222789,Luis Enrique,270089,de,en,es,fr
Q873,Meryl Streep,269873,de,en,es,fr
Q9458,Muhammad,268606,en,es,fr
Q121422393,Alix Earle,268328,en
Q3735288,Eve Hewson,267579,de,en,es,fr
Q989,John Paul II,267408,en,es
Q94579368,King Von,265617,en
Q302581,Aaron Rodgers,265500,en,es
Q55223040,Alexandria Ocasio-Cortez,265416,de,en,es
Q73367368,Paul Mescal,264830,de,en,es,fr
Q312556,Jeff Bezos,264790,de,en,es,fr
Q26904312,Tadej Pogačar,264405,de,en,es,fr
Q313381,Tom Brady,264343,de,en,es
Q58772926,Kim Porter,263508,en,es,fr
Q28065104,Omar Marmoush,263253,de,en,fr
Q100454034,Takuto Teranishi,262857,ja
Q81520,Pierce Brosnan,262419,de,en,es
Q3541685,Tsutaya Jūzaburō,262336,ja
Q485508,Charles Manson,262257,de,en,es,fr
Q872994,Wakana Matsumoto,261778,ja
Q41163,Al Pacino,261549,de,en,es,fr
Q76476288,Khamzat Chimaeb,261249,de,en,es,fr,ja
Q20038709,Mizuki Itagaki,261108,en,ja
Q1048,Jules César,260277,de,en,es,fr
Q188955,Matthew McConaughey,260171,de,en,es,fr
Q40096,Will Smith,259953,de,en,es,fr
Q115541,Dakota Fanning,259897,de,en,es,fr
Q107917854,Motohiko Saitō,259676,ja
Q236167,Kelly Reilly,259373,de,en,es,fr
Q223117,Stanley Tucci,258632,de,en,es,ja
Q349391,Helen Mirren,258388,de,en,es,fr
Q485547,Aurangzeb,258381,en
Q942923,Roy Cohn,257731,de,en,es,fr
Q5588,Frida Kahlo,256854,de,en,es,fr
Q6096,Snoop Dogg,256280,de,en
Q17317909,Carrie Coon,255742,de,en
Q692,William Shakespeare,254682,de,en,es,fr
Q127375348,Kocchi no Kento,253870,ja
Q41076,Mariah Carey,253555,de,en,es,fr,ja
Q910160,Shigeo Nagashima,253220,ja
Q16239385,Taron Egerton,252969,de,en,es,fr
Q66742521,Miguel Uribe Turbay,251695,de,en,es,fr
Q81819,Monica Bellucci,251298,de,en,es,fr
Q40248,Julie Bowen,250560,de,en,es,fr
Q28741262,Oscar Piastri,250435,de,en,es,fr
Q352159,Stephen Curry,249069,en,es,fr
Q18817375,Atsuhiro Inukai,247935,ja
Q20670730,Lily-Rose Depp,246448,de,en,es,fr
Q6809055,Meghann Fahy,246310,de,en,es,fr
Q101797,Winona Ryder,245963,de,en,es,fr,ja
Q56008,Tim Burton,245439,de,en,es,fr,ja
Q555578,Chespirito,245195,es
Q56026072,Gukesh D,244656,de,en,es
Q7186,Marie Curie,244311,de,en,es,fr
Q229112,Michelle Monaghan,243843,de,en,es,fr,ja
Q3752663,Fred Trump,243503,de,en,es,fr
Q461391,Gavin Newsom,243353,de,en,es,fr
Q60632998,Aimee Lou Wood,242805,en
Q95129121,Tate McRae,241864,de,en,es,fr
Q236475,Olivia Munn,240420,en
Q40523,Julia Roberts,240341,de,en,es,fr
Q37150,Lana del Rey,239750,de,en,es,fr
Q71679279,Motoki Ohmori,239589,ja
Q164119,Mark Wahlberg,238598,de,en,es,fr
Q163286,Hugh Grant,237304,de,en,fr
Q83492,Gary Oldman,234868,de,en,es,fr,ja
Q489856,Haley Joel Osment,234762,de,en,es,fr,ja
Q590227,Edward VIII,234325,en,es,fr
Q254596,Dominique Dunne,233289,de,en,es,fr
Q395274,Michael J. Fox,231838,de,en,es,fr,ja
Q5567967,Glen Powell,231418,de,en,es,fr
Q462104,Pauline Ferrand-Prévot,231401,de,en,es,fr
Q503706,Chris Pratt,230931,de,en,es,fr
Q380121,Lee Byung-hun,230260,de,en,es,fr,ja
Q6249723,John Mulaney,230209,en
Q25310,Robert F. Kennedy,229414,de,en,fr
Q131725,Joan Baez,228509,de,en,es,fr
Q169946,Kate Hudson,228367,de,en,es,fr
Q34424,Shakira,228358,de,en,es,fr
Q169452,Shaquille O'Neal,227608,de,en,es
Q234773,Priscilla Presley,227579,de,en,es,fr
Q170572,Alec Baldwin,227208,de,en,es,fr
Q2808,Elton John,227010,de,en,es,fr
Q317337,Matthew Goode,226479,de,en,es,fr
Q11459,Serena Williams,226092,de,en,es,fr
Q150943,Gene Hackman,225289,de,en,es,fr
Q6176881,Jelly Roll,224704,en
Q362616,Jon Bernthal,224309,de,en,es,fr
Q5162259,Conor McGregor,224293,de,en,es,fr
Q16234676,Aaron Judge,224091,en,ja
Q239453,Leslie Bibb,223984,en,es
Q20740874,Wamiqa Gabbi,223107,en
Q28542230,Barry Keoghan,222527,en,fr
Q25191,Christopher Nolan,222281,de,en,es,fr
Q130279750,Wade Wilson,221958,en,es
Q7934206,Ahmed al-Sharaa,221718,de,en,es
Q3772,Quentin Tarantino,220612,de,en,es,fr
Q3874799,Volodymyr Zelenskyy,220396,de,en,es,fr,ja
Q4947838,Rebecca Ferguson,220209,de,en,es,fr,ja
Q25369,Kobe Bryant,220008,en,es
Q122614,Renée Zellweger,219567,de,en,es
Q2939142,Carlo Acutis,219286,de,en,es,fr
Q104514,Adrien Brody,215402,de,en,es,fr
Q5105,Céline Dion,214333,de,en,es,fr,ja
Q106807,Magnus Carlsen,213452,de,en,es,fr
