qid,enTitle,pageviews_30d_en,sitelinks
Q19956709,Dominic_Calvert-Lewin,58888,47
Q36159,LeBron_James,58789,96
Q42229,Mel_Gibson,58774,102
Q63228677,Jacob_Ramsey,58709,26
Q234458,Irina_Shayk,58677,53
Q64849968,Emma_Raducanu,58395,51
Q29564107,Billie_Eilish,57282,101
Q115902071,Kanna_Ravi,57012,1
Q25936414,Millie_Bobby_Brown,56857,68
Q39792,Jack_Nicholson,56714,110
Q99485542,Savinho,56705,29
Q36107,Muhammad_Ali,55952,139
Q37459,Nicole_Kidman,55896,117
Q2263,Tom_Hanks,55764,119
Q189490,Jennifer_Lawrence,55749,107
Q165219,Robert_Downey_Jr.,55430,98
Q5233914,David_G._Booth,55392,3
Q6938597,Muriel_Bowser,55278,29
Q128297,Maria_Callas,54713,75
Q104791,Ed_Harris,54681,74
Q52990659,Antoine_Semenyo,54454,26
Q34086,Justin_Bieber,54369,161
Q37175,Johnny_Depp,54072,121
Q16189572,Steve_Witkoff,53955,22
Q131412,Mary,_Queen_of_Scots,53911,93
Q717015,James_Gunn,53690,43
Q208558,Andie_MacDowell,53614,57
Q131760081,Samuel_Blenkin,53601,4
Q7251,Alan_Turing,53346,160
Q165421,Jacqueline_Kennedy_Onassis,52919,83
Q236347,Nicola_Peltz,52615,39
Q111441081,Shedeur_Sanders,52443,7
Q2971799,Jillian_Michaels,51714,16
Q92464290,Jackie_Bezos,50844,2
Q170530,Sarah_Jessica_Parker,50615,70
Q199945,Alicia_Silverstone,50200,60
Q3481642,Jim_Jefferies,50154,19
Q778520,Diana_Turbay,49851,11
Q16234243,Mrunal_Thakur,49370,28
Q37876,Natalie_Portman,49280,114
Q125162793,Moses_Itauma,48761,5
Q71243,Clark_Gable,48729,92
Q18684239,Adria_Arjona,48506,32
Q946117,Toby_Huss,48467,22
Q447717,Essie_Davis,48384,24
Q42493,Katy_Perry,48350,110
Q43874,Eddie_Murphy,48180,99
Q216708,Liam_Gallagher,47904,49
Q22277803,Florence_Pugh,47802,57
Q47447,Ed_Sheeran,47772,88
Q228868,Piper_Perabo,47583,40
Q111589210,Kaʻiana,47520,3
Q25191,Christopher_Nolan,47514,94
Q234207,Natasha_Lyonne,47459,39
Q42786,Audrey_Hepburn,47399,118
Q180011,Brenda_Song,46787,58
Q178348,Chris_Evans_(actor),46570,89
Q202589,Cillian_Murphy,46568,81
Q173637,Ice_Cube,46349,79
Q4407963,Lauren_Sánchez,46325,22
Q133313,Jake_Gyllenhaal,46295,77
Q44737396,Marc_Guéhi,46103,38
Q954184,Deion_Sanders,46091,15
Q309643,Ed_Gein,45924,42
Q43676009,Benny_Safdie,45726,13
Q122089959,Justin_Devenny,45393,7
Q1316535,Tristan_Rogers,45295,6
Q180942,Shia_LaBeouf,45106,83
Q22677155,Jason_Ralph,45036,14
Q192217,Rob_Schneider,45004,56
Q47892618,Sunny_Sandler,44914,7
