Rank,Name
997,Marilyn Monroe
998,Theodore Seuss Geisel
999,George Santayana
1000,Andy Warhol
1001,Lady Godiva
1002,Amerigo Vespucci
1003,Pocahontas
1004,Pyotr Ilyich Tchaikovsky
1005,Ronald Reagan
1006,John F. Kennedy
1007,Oprah Winfrey
1008,Bill Gates
1009,Cal Ripken Jr
1010,Princess Diana
